ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
4040	NMU_China	Toggle Macrophages	"Elimination of the SARS-COV-2 and balance the immune response are both important for late-stage COVID-19, however, no ideal therapeutics can achieve the two goals for our knowledge. To address this, we have 1) designed synthetic antiviral macrophages with immune-regulatory capacity and 2) demonstrated its feasibility through both in vitro experiments and mathematical modeling. The designed synthetic antiviral macrophages, termed ""Toggle Macrophages"", have the phagocytic capacity specific for SARS-COV-2 and showed pro-inflammatory/anti-inflammatory phenotypic transformation according to the level of local IL-6 concentration. Therefore, as ""smart"" therapeutics, Toggle Macrophages can both reduce the viral load through phagocytosis and balance the immune system via phenotypic transformation. We further mathematically modeled and analyzed the feasibility of the practical application of Toggle Macrophages in humans. This work supports the use of Toggle Macrophages as a novel Genetically Engineered Cellular Platform that may be useful in future therapeutic approaches against severe COVID-19."	Therapeutics	Gold Medal		Best Part Collection, Undergrad	2021	Shi Hu, Changhai Lei, Ruixue Mao	Wenyan Fu	Qing Meng, Tian Li	Kun Li, Mengmei Zhu	Hanting Shen, Huanxiao Shi, Jiali Lin, Shuya Jiang, Suyao Wang, Tiantian Zhang, Tianzhen Hua, Tong Yin, Xuan Wang, Yuanye Zeng, Yu Ding, YuXi Ji	20	Undergrad	China	Asia	https://2021.igem.org/Team:NMU_China	Accepted
4041	HKIS	Vib-Check	Vib-Check is a two-part detection and purification system for Vibrio bacterium in Oysters. Vibrio, being the leading cause of seafood-related deaths around the world, is a hazard that has yet to be tackled effectively. Vib-Check aims to provide a method for affordable and effective detection of Vibrio pathogens in oyster batches that the average fisher can use, something no product is currently capable of. In the event of a positive result, aquaculturists can use our specially designed peptides expressed by transgenic microalgae for the effective and convenient purification of pathogens in oysters.	High School	Silver Medal			2021	Melissa Michelle C Pain, Ng Tsz Chun			Derek Zhang	Aadi Anand, Aiden Lee, Anika Kamat, Cynthia Huang, Ethan Niu, Isabel Jingyi Lin, Jaiden Poon, Junho Daniel Chey, Michael Hu, Siddharth Raykar, William Wang, Yoonjung Choi, Zachary Wang	16	High School	Hong Kong	Asia	https://2021.igem.org/Team:HKIS	Accepted
4043	United_Shanghai_HS	PET Gig Eater	Plastic waste pollution has seriously threatened the environment and creatures. Here, we designed a burying yard with concentrated PET plastics, using the modified Bacillus subtilis carried by earthworms to initially degrade PET ,accelerating the degradation of PET plastics in it. At the same time, the activities of earthworms are used to improve the distribution of engineering bacteria and enzymes,solving the difficulty of frequent mixing in the dump site. The modified engineering bacteria release PETase and MHETase to hydrolyze PET into ethylene glycol and terephthalic acid,finally metabolizing it into carbon dioxide and water. What’s more ,we also inserted GFP gene into the plasmid to further track the distribution of engineering bacteria in the soil. And by detecting the fluorescence in the body or feces of the earthworms, we can know whether the engineered bacteria have been swallowed by the earthworms. The expected result is that the engineered bacteria can be carried elsewhere through the activities of earthworms, which will promote the distribution of engineered bacteria in the soil.	High School	Silver Medal			2021	Jie Wang, Wang WenChen				Jialiang Wan, Jiankun Liu, ruitang li, Ruixi Xiang, Shixuan Wang, Yanhong Zhu, Yunqi Liu, Zhihao Zhang	10	High School	China	Asia	https://2021.igem.org/Team:United_Shanghai_HS	Accepted
4044	LMSU	ASCEND	The question of food supply for the long-distance flights remains still unsolved. Moreover, onboard food production must meet restricted requirements due to the curtailed resources on the spacecraft. ?yanobacteria Arthrospira platens is a perfect candidate in this case. However, it is tasteless. A long-term ASCEND project is aimed to introduce Arthrospira platensis engineered to produce any genes of interest, and flavours in particular, as a new chassis for the synthetic biology community. We have designed and tested a special optogenetic system, which will facilitate switching between different products and help optimize growth and production conditions. Blue light induces anchoring of BcLOV4 protein in the plasma membrane and maintains culture growth, whereas far-red light induces the production of genes of interests by activating the BphP1 light-sensitive protein and forcing it to inactivate QPAS1-Gal4 repressor. This year genetic constructions were trialed in E.coli with YFP as a test gene.	Food & Nutrition	Gold Medal		Best Food & Nutrition Project, Undergrad	2021	Alexey Shaytan	Petr Zaytsev	Elena Krasilnikova	Anton Agapov, Lidia Bobrovnikova	Alexandr Modestov, Alexei Sheshukov, Anastasiia Novitskaia, Araslanova Karina, Artem Stetoi, Ivan Kozin, Kalinichenko Andrei, Mikhail Polkovnichenko, Tamara Loseva, Veronika Katrukha, ???? ??????????	16	Undergrad	Russian Federation	Europe	https://2021.igem.org/Team:LMSU	Accepted
4045	NOLA	Team has withdrawn	Team has withdrawn	Foundational Advance				2021	Nicholas R Sandoval, Amanda Rosenzweig			Alina Tiemroth, David Sirkin, Josh Frydman	Emery Haynes, Eshan Damle, Joel Winderweedle, Keefer Boone, Wendy Yang	10	Undergrad	United States	North America	https://2021.igem.org/Team:NOLA	Withdrawn
4046	Duke	NODES: Novel Organoid-dependent Drug Efficacy Screening implementing high-throughput, droplet-based brain organoids	Clinical treatment of glioblastoma, a disease that kills over 10,000 Americans annually, is limited by the lack of a scalable, physiologically-relevant model for testing therapeutics. Duke iGEM is developing NODES, a high-throughput organoid-based drug screening platform to characterize treatment efficacy in common glioma variants. We designed a non-invasive reporter device that quantifies the drug response of mutation-specific glioma cells in a mini-brain co-culture model, grown in a droplet-based system. Additionally, we modeled our reporter system, which detects oncometabolite levels throughout brain tumor development, to improve device characteristics and developed a machine-learning based image analysis pipeline for organoid screening. To identify the social and ethical implications of our work, we interviewed patients, clinicians, and other stakeholders and integrated their feedback into our design. By recapitulating the brain microenvironment, NODES has the potential to accurately characterize drug responses, offering new hope to patients in their fight against this lethal disease.	New Application				2021	Cameron Kim, Zhaohui Wang			Tim Ho	Andy Qiao, Ashley Jones, Caroline Anderson, Casey Syal, David Ramirez, Haipei Yao, Hannah Devens, Isabella Wang, Jessica Shah, Jihyeon Je, Juseong Kim, Kate Straneva, Konrad Slaman, Nicolas Rey, Rahul Prakash, Xiao Wu	19	Overgrad	United States	North America	https://2021.igem.org/Team:Duke	Accepted
4047	MiamiU_OH	CROP: Creating RuBP Optimized Photosynthesis	Global agricultural productivity is projected to not meet the needs of increasing populations developing higher standards of living. On a cellular level, crop yield is limited by the inefficiency of photosynthesis. Our project aims to improve this efficiency by implementing an alternative RuBP regeneration portion of the Calvin-Benson-Bassham (CBB) cycle. Two alternative pathways, which use enzymes from other reactions that act on common metabolites used in the CBB cycle, were explored first via computational modeling. Impacts on growth and reaction fluxes in silico assessed the validity of these pathways in creating a more robust photosynthetic cycle. One of these pathways which overexpresses the native enzyme transaldolase, was also assessed in vivo. Ultimately, we showed the validity of two alternative pathways in allowing a more efficient regeneration stage of the CBB Cycle. These pathways could eventually be implemented into higher plants to allow more robust cycling and therefore higher crop yield.	Food & Nutrition	Gold Medal		Best Food & Nutrition Project, Undergrad+Best Plant Synthetic Biology, Undergrad & Overgrad	2021	Xin Wang, Luis Actis	Zhenxiong Jiang		Hope Kirby	An Nguyen, Avery Imes, Camaryn Bennett, Cameron Headlee, Daria Perminova, Kyle Lierer, Mackenzie Britton, Maxwell Brenner, Nicholas Nocevski, Rhonda Krehbiel, Tra Yen Nhu Phan	15	Undergrad	United States	North America	https://2021.igem.org/Team:MiamiU_OH	Accepted
4049	MEPhI	MISS - Microbiomic Space Suit: Synthetic Human Microbiota to Stimulate Radioprotection to Ionizing Radiation	Project MISS is aimed to create a Microbiomic Space Suit protecting cosmonauts, astronauts, and taikonauts from aggressive radiation during their long-term missions. Microbial communities cover the human body and form a biological suit that helps humans to perform various vital functions. The project aims to populate human’s natural “suit” with gene-modified bacteria synthesizing radioprotective proteins. New microbiota will pave a way for further space exploration plans including human settlements on the Moon or an expedition to Mars. We will modify Human bacteria using silicon nanoparticles with absorbed genetic material. Inserted genes will motivate bacteria for secreting radioprotectors packed in Outer Membrane Vesicles (OMVs) capable of fusing with human cells. The bacterial communities developed within this project will be the first synthetic human microbiota engineered to perform specific functions in its natural epitopes.	Therapeutics	Bronze Medal			2021	Dmitry V. Sosin, Denis Baranovskii, Ilya Klabukov		Maxim Bokov, Vasiliy Stepanenko	Olesya Galanova	Aleksei Kanashtarov, Alina Levushkina, Anastasia Nikolaeva, Ayat Rakhimzhanov, Bertha Yliana Valdez Fernandez, Ivan Pavlenko, Lena Goryunova, Mamedov Anton, Sergey Sysoev, Shatalova Rimma, Smirnova Alena, ?????? ?????????-????????	18	Overgrad	Russian Federation	Europe	https://2021.igem.org/Team:MEPhI	Accepted
4050	Victoria_Wellington	Tropane alkaloid biosynthesis in prokaryotes	Tropane alkaloids are plant secondary metabolites and include important medicinal compounds. Most applications are related to neurochemistry and range from the treatment of neuromuscular disorders, including Parkinson’s disease, to the use as stimulants. There is increasing need for large-scale, climate-independent, and local production of tropane alkaloids as precursors for medicinal drugs. Our goal is to remedy the impact of world crises on the cultivation and exportation of these drugs. To this avail, we aim to develop a biosynthetic route for a tropane alkaloid intermediate, tropine, in Escherichia coli and the cyanobacterium Synechococcus elongatus. To the best of our knowledge this would be the first production of tropine in a prokaryotic organism and could provide an effective and cheap alternative to current tropine production methods.	Therapeutics	Bronze Medal			2021	David Ackerley		Manuel Blank, Mitch Ganley	Alexandria Linton-de Boer, Neil MacMillan, Vincent Nowak	Azaria Sheppard, Ben Roberts, Demelza Robinson, Hannah Lee-Harwood, Kae Watanabe, Kelly Styles, Kirby Brown, Lee Ann Zandra Tejada, Marshall Kennedy-Newton	15	Overgrad	New Zealand	Asia	https://2021.igem.org/Team:Victoria_Wellington	Accepted
4051	MTU-CORK	Bioremediation of MARS using engineered bacteria in a novel housing system, the Biofrag 2.0	Mars holds great interest to humanity and commercial applications alike due to its suitability for potential habitation. One issue withstanding are the components of the planets soil that contains toxic levels of sodium perchlorate making growth of food impossible. Our team has devised a solution by engineering E.coli with genomic islands from A. suilum which breakdown the sodium perchlorate in the soil through the enzymes Perchlorate reductase and Chlorite dismutase. The bacteria is housed within a 3D printed, novel, spherical design allowing biofilm formation, bacterial proliferation, enzyme distribution and addition of a seed for bioremediating and cultivating the Martian soil. This design has been titled the Biofrag 2.0. The Biofrag can be used within specially contained Biofrag Isolation Units which allow for contained remediation of soil whilst preventing widespread contamination. Each box also allows for optimal conditions for growth of both flora and microbiome within the Biofrag.	Environment	Silver Medal			2021	William WhelanCurtin, Eilish Broderick, Ganga Chinna Rao Devarappu	Susan Enright, Uday Gowda, Venkata Vamsi Bharadwaj Yallapragada	Audrey Masi	Josh O'Brien	Alannah O?Flaherty, Clodagh Healy, James O'Connell, Justin Hayes, Mei Chen, Rachel Holmes	14	Overgrad	Ireland	Europe	https://2021.igem.org/Team:MTU-CORK	Accepted
4052	RHS-Calgary	GlucoLitter: A colorimetric biosensor for detecting glucose in feline urine	The purpose of our project is to address the issue of effectively revealing signs of feline diabetes, as current solutions are often limited and time-consuming. Our primary goal was to produce a biosensor that creates a purple pigment in the presence of elevated levels of glucose which will act as an indication of feline diabetes. A reaction will occur between the glucose in a cat's urine and oxygen, catalyzed by glucose oxidase. This will produce hydrogen peroxide, which will react with a colorimetric assay to produce a color change. Through synthetic biology principles, we aim to apply our biosensor to provide cat owners with an early detection method for feline diabetes and other conditions.	High School	Bronze Medal			2021	Dallas McLaughlin				Aarushi Bhargava, Ayana Abdulla, Diya Sharma, Iaci Soares, Madison Kritzler, Sophia Vig-Benko, Tanisha Mattapalli	8	High School	Canada	North America	https://2021.igem.org/Team:RHS-Calgary	Accepted
4053	NTU-Singapore	Rapid Detection of Single Nucleotide Mutations in COVID-19 and Cancer	As we have learnt from interviews, assays that can detect mutations accurately are valuable in the diagnosis of fast evolving infectious diseases and cancer. Furthermore, in pandemics such as COVID-19, rapid point-of-care detection is essential to isolate patients as fast as possible and minimize spreading of the disease. Hence, we have developed a sensitive and easy-to-use diagnostic kit that can accommodate direct patient samples without RNA extraction and deliver results in under 40 minutes. Loop-mediated isothermal amplification (LAMP) was utilised to amplify the target genes. After amplification, a novel CRISPR-Cas12a Lb-RVRR enzyme was employed to identify different mutations based on the fluorescence intensity. Alternatively, we developed a probe that was sensitive to point mutations, allowing us to distinguish between different genetic variants in COVID-19 and cancer. Thus, our project has provided with better methods to diagnose such diseases for a better future.	Diagnostics	Gold Medal		Best Supporting Entrepreneurship, Overgrad	2021	Meng How Tan	Ivy Liu, Liu Mengying, Ooi Kean Hean		Muhammad Safwan Bin Burhanudin	Goh Chun Ting, Hui Min Ho, Liang Yingyue, Michelle Cordelia Tanjaya, Ng Tian Hui Valerie, Nguyen Tram Anh, Noor Adilah Binti Mohamad Rafey, Prasham Mehta, Sharon Wong Hui Min, Tanya Koh Tingya, Teng Wei Heng, Victor Oh, Zheng Qiao	18	Overgrad	Singapore	Asia	https://2021.igem.org/Team:NTU-Singapore	Accepted
4054	XJTLU-CHINA	Dr. Phage	"In summary, our project aims to quantitatively detect the bacterial pathogens in food by using the edited assembly-deficient phage to target and lyse the bacteria, and then release the exogenous protein LuxR; the released LuxR can then activate downstream cell-free gene circuit and generate visual signals. The CRISPR-Cas9 system is applied to disrupt gp24 gene, an essential gene for T4 phage assembly, with LuxR gene to produce LuxR as signalling molecules for downstream system activation and prevent phage assembly at the same time. The assembly-deficient phage cannot therefore replicate in the host cells more than one generation. The downstream circuit outputs binary signals indicating whether the concentration of bacteria exceeds the national standard or not: if the concentration of the target bacteria is higher than the standard, the system will output a visual signal, otherwise, the signal will not be displayed."	Diagnostics	Gold Medal			2021	Guoxia Han, Dechang Xu	Ziwen Xie	Xiaohan Zhang, Yifan Jiang, Yuwei Han	Xinyan Han	Lizhe Chen, Shuhuai YANG, Simiao Wang, Weilin Liu, Xinchen Nie, Yiwei Yang, Other, Shengjie Guo	14	Undergrad	China	Asia	https://2021.igem.org/Team:XJTLU-CHINA	Accepted
4055	Yucai_SZ	A composite material for fresco restoration based on engineered E.coli	The restoration of traditional frescos is a difficult process. Our project is to operate the modified E.coli which can be induced by blue light to produce a layer combined calcium carbonate, pigment and adhesive directly at the damaged position of the fresco. After the combination of these three, a micron level colored calcium layer will be formed on the wall surface, so as to repair the damaged frescos.	High School	Silver Medal			2021	Junfang Huang		He Zhao, Yeqing Zong, Ying Xu	Rui Wang	Chongrui Ye, Haixin Wang, Li Zejun, Yannuo Bai, yiming nie, Zihua Li, Ziqing Zhu	12	High School	China	Asia	https://2021.igem.org/Team:Yucai_SZ	Accepted
4056	IOANNINA	Antibyeotic: Bacteria against AMR	The increasing amount of antibiotics in the environment has led to a rising number of antibiotic resistant bacteria, putting human and animal health at risk. Antibiotic use in poultry farming remains high and leads to antibiotic pollution. The problem of AMR is now a serious threat to the achievement of many of the Sustainable Development Goals as indicated by the United Nations. Defending the One Health approach, we aim to design a bacterial mechanism, which can inactivate tetracyclines and macrolides in the surrounding environment, while containing a self-destruction mechanism, activated when it has fulfilled its role. For this purpose, we partnered with iGEM IISER-Tirupati, to share their kill switch based on the action of a modified bpDNase1. The bacterial cell death is regulated by the presence of antibiotics using TetR and MphR as antibiotic sensors. Our idea could be applied in chicken manure making the final product safe and antibiotic-free.	Environment	Bronze Medal			2021	Theologos Michaelidis, Petros Marangos, Dimitrios Alivertis, HARALAMBOS STAMATIS, Lefkothea-Vasiliki Andreou, Petros Katapodis	Kyriaki Papageorgiou	Ioannis Tsigkas	Elisavet Aslanidou, Konstantinos Afordakos	Andreas Georgios Vasios, Athanasios Minas Papanastasiou, Christos Georgiou Mousses, Chrysoula Tzima, Despoina Voulgari, Foteini Alexiou, Georgios Efstathiou, Konstantinos Koutsogiannis, Kyrania Kaarina Christofi, Maria Skeva	20	Overgrad	Greece	Europe	https://2021.igem.org/Team:IOANNINA	Accepted
4058	Guelph	CRISPR to Combat Climate Change	Our project this year aims to address the threats posed to global food production by climate change in the form of abnormal or unseasonal weather events. Using a CRISPR activation (CRISPRa) system in conjunction with a molecular switch, we aim to create genetically modified plants for which specific stress-response genes can be manually upregulated following the human-mediated input of a chemical stimulus. Our team has also developed and executed a strong outreach plan. We have worked with professionals in the industry and experts in the fields of agriculture and genetic engineering in order to better understand how our research can be applied. We have also partnered with other iGEM teams to create a series of academic materials covering different facets of synthetic biology. We have partnered with teachers in order to gain feedback on this work, and to determine how this material could be effectively deployed in a classroom setting.	Environment				2021	Stephen Seah, Liping Wang, Rebecca Shapiro			Amira Bouchema, Anum Anjum, Danielle Halasz, Enzo Baracuhy, Hannah Vujovic, Isha Trivedi, Kulay Janneh, Larsen Iorgovits, Linda Nong, Miguel Padolina, Mikayla Walsh, Namra Hamid, Nathanael Willms, Olivia Gair, Samuel Gobraeil, Sarah Cumberland, Sathyajith R Pinikeshi, Sofia Finley, Tony Shen	Adrian monrad, Ammar Obaid, Artur Karapetov, Brittany Alexander, Charlotte Fletcher, Charlotte Reich, Colin Ray, Dennis Tran, Emma Lee, Gerry Koot, Gesjana Rustemi, Harkamal Samra, Jamie Stein, Jasmine Kortekaas, Julia Leith, Kartikay Pabbi, Kevin Pirabaharan, Kristen Cimolai, Lisa Thuy Duyen Tran, Maimoonah Ahmed, Mike Green, Nathaniel Petersen, Rebecca Taylor, Samantha Segal, Sydney Orlander, Taylor Ball, Tevon Pierre, Tiffany Arnone	50	Overgrad	Canada	North America	https://2021.igem.org/Team:Guelph	Accepted
4059	SDU-Denmark	PsiloAid	We want to contribute to the utilization of psilocybin’s absolute potential by reducing the costs of acquiring the substance for research projects. Psilocybin is currently undergoing clinical trials, to explore its potential as a treatment method for depression. However, it has shown itself to be a very difficult and expensive process to chemically synthesize psilocybin or purify it from the mushrooms. Despite recent improvements in heterologous production of psilocybin using either bacteria or yeast, current methods persist to be tedious and costly with a reduced yield. That is why we aim to construct an enhanced biosynthesis of psilocybin from tryptophan, by introducing all four different enzymes from the Funghi in Escherichia coli. After successfully producing psilocybin in E. coli, we hope to transfer this system to our ideal, non-pathogenic host organism, Rhodovulum sulfidophilum that only needs sunlight and seawater to grow, thereby making a sustainable and safe cell factory.	Manufacturing	Gold Medal		Best Biomanufacturing Project, Overgrad+Best Supporting Entrepreneurship, Overgrad+Best Wiki, Overgrad	2021	Mikkel Jorgensen	Anne Sofie L?gstrup Henriksen, Henrik Johansen, Jens Sivk?r Pettersen, Stine Degn Espersen, Tina Kronborg	Joel Vej-Nielsen		Andreas Hyller?d Haugaard, Anna Olivia Zier Jeppesen, Ann-Sofie Nielsen, Caroline S?rensen, Gargi Dwivedi, Ida H?yer Duvander, Jan Paz, Johannes Skr?p, Jon Andr? Christensen, Jonas Bladt Thomsen, Josefine Bech Jensen, Julie le-Fevre Hansen, Kristine Dehn Br?ndemose, Laura Pejs Wernich Thomsen, Mads H?jsager Bjerregaard Hvegholm, Moritz Schaefer, Natasha Dimple, Regitze Arendahl Misser Klenke, Simon Andreasen, Tobias Zimmer J?rgensen	27	Overgrad	Denmark	Europe	https://2021.igem.org/Team:SDU-Denmark	Accepted
4060	NYCU-Taipei	Natto It Out	A fatal cardiovascular disease, Deep Vein Thrombosis (DVT) is a rising major health problem due to the potentially lethal complications such as pulmonary embolism. Since an ounce of prevention is worth a pound of cure, our project “Natto It Out” aims to prevent DVT progression at its earliest onset via a fibrinolytic protease—Nattokinase. In this project, we engineered an E. coli, which is designed to be able to release the NK in the intestine, by inserting the Nattokinase DNA sequence from B. subtilis into pET21a plasmids. In addition, we integrated the BphP1-QPAS1 optogenetic system to manipulate Nattokinase production remotely, along with a detector that could instantly calculate the risks of DVT. To overcome biosafety concerns, we adapted the mazEF toxin-antitoxin system into our kill switch design to mediate cell death once they have been released into the environment.	Therapeutics	Gold Medal		Best Presentation, Undergrad+Best Therapeutics Project, Undergrad	2021	Chuan-Hsiung Chang, Ching-Fen Chang			Cheng-Ju Lu, YU CHUAN LEE	CHEN YAN-ZHEN, Chong-Yan Chen, HAO-JIN CHIANG, Hui Chen, KO CHI-HSIANG, LIN, YANG-YI, NAI-CHIEH, HUANG, TSENG, CHI-YU, Tsung-Sheng Chiang, WU, TING-YI, Yi-Hsin, Chen, Yi-Rong Chen	16	Undergrad	Taiwan	Asia	https://2021.igem.org/Team:NYCU-Taipei	Accepted
4061	HKUST	ShellBi - Prokaryotic Biosensor for Detection of Paralytic Shellfish Toxins	Paralytic shellfish toxins (PST), such as Saxitoxin and Tetrodotoxin, are neurotoxins found in shellfish like clams, mussels, and oysters, that cause Paralytic Shellfish Poisoning (PSP) by blocking the sodium channels in neurons. Current methods to test for PSTs suffer from massive drawbacks in terms of ethics, complexity, accessibility, and cost. Hence, we are building a prokaryotic biosensor for the detection of a wide range of PSTs that is ethical, cheap, simple, and direct. The biosensor utilises the antagonistic interaction between Shellfish Toxins and Veratridine to induce significant ionic changes within the cell. An engineered Two Component System in the cells senses this change in intracellular ionic levels and modulates gene expression leading to expression of different reporter proteins. Red fluorescent colour is expected when the toxin is present while green when it is not. Small-scale testing laboratories and even shellfish farms could employ our kit for quality assurance of shellfish.	Food & Nutrition	Gold Medal			2021	King L. Chow, Jessica C.M. Tang		Hsiu Ou Ning, Lee Sze Chun Vanessa, SHAO Zhihao, Tse Richard Chi Hong, Wong Tsun Chiu		Cheung Yan Tung, Chloe Yee Tsing Ng-Brossard, Diya Agrawal, Guo Yuchen Ethan, Jiho LEE, Keila Valery Juganda, Lam Lok Hang, LEE, Sojung, Li Ho Wa, LIU Zhiyin, Ng Siu Fung, Raissa Gavrila Dani, Sun Ka Man Lily, Tsang Cheuk Hei, Tsang Cheuk Hei	22	Undergrad	Hong Kong	Asia	https://2021.igem.org/Team:HKUST	Accepted
4062	WLC-Milwaukee	BlacOps	iGEM teams use synthetic biology to solve thousands of problems around the world. From diagnostic tests for cancer to biosensors that detect water contamination, using bacteria and their environment to influence gene expression is commonplace in synthetic biology. However, there are few resources available to those wanting to learn the foundation of all synthetic biology: gene regulation. Especially in urban settings like Milwaukee, a reliable gene regulation curriculum is absent. Furthermore, the concepts integral to understanding gene regulation are intricate, complex, and incredibly difficult to communicate. A reliable, hands-on educational kit simplifies the learning process tremendously. Using the well-documented and understood regulatory components of the lac operon, WLC-Milwaukee created BlacOps, a laboratory kit that effectively teaches the principles of gene regulation.	New Application	Bronze Medal			2021	John Werner			Benjamin Bateman	Alyssa Ebeling, Alyssa Keller, Alyssa Scheunemann, Amelia Neuwirth, Christal Phelps, Connor Boinski, Elizabeth Eilertson, Elizabeth Farley, Grant Hammer, Hannah Jordan, Isabel Lee (Waddell), Jenna Elizabeth Bishop, Karson Hilgendorf, Kaylee Cadeau, Kaytlyn Hartfield, Micayla Bork, Rachel Dziekan, Sarah Weindorf, Sofia Luxem, Sophia Kerkow, Zachariah Kline	23	Undergrad	United States	North America	https://2021.igem.org/Team:WLC-Milwaukee	Accepted
4063	Gaston_Day_School	Risk of Bacteriophage-mediated Lateral Transfer in the Environment	Bacteriophages exist in both natural and artificial environments and are able to transfer DNA from one type of bacteria to another. Bacteria, such as E.coli, released from synthetic biology labs may be infected by certain bacteriophages and the antibiotic resistance transferred to other bacteria leading to biosafety issues. To better understand this problem, we will assess the potential risk of lateral transfer of E. coli plasmids by T4 bacteriophages under different conditions. We have shown that T4 can transfer plasmid DNA, which does increase the risk of lateral transfer. However, the number of E. coli phages present in our local environment appears to be quite low, reducing the risk. We added four new T4 early promoters to the registry to support our project. Additionally, our team focuses on providing students who have visual and motor challenges a way to measure liquids through 3-D printing.	Environment	Silver Medal			2021	Anne Byford			Brooke Dillingham, Kate Kllinger, Neha Patel, Tiancheng Lan	Ahmad al yasjeen, Blake, Chao Zhang, Haoyuan Li, Jingpeng Sun, Jordan Baker, Lan Chen, Nathan Loupus, Peining Zhang, PEINING ZHANG, Rong Bao, Will Vanderploeg, Winston Baker, XiangYun Li, Xining Wu, Xinyi Luo, Yijun Yang, YI WANG, Yixuan Tang, Zheng Robert Jia	25	Undergrad	United States	North America	https://2021.igem.org/Team:Gaston_Day_School	Accepted
4064	TKS_International	Team has withdrawn	Team has withdrawn	High School				2021	Steven ten Holder				Aditya Mittal, Alexander Okezue Bell, Amy Li, Anastasija Petrovic, Anna Heck, Christian Rebolledo, Hailey Kim, Jiayao Song, Jibraan Kadri, Karthik Mittal, Sofia Sanchez	12	High School	Canada	North America	https://2021.igem.org/Team:TKS_International	Withdrawn
4065	FCB-UANL	Synbiofoam: a synthetic alternative to fluorosurfactants	"The incidence and intensity of forest and urban fires have increased throughout the last decades; to combat them, firefighting foams containing fluorosurfactants (a group of extremely pollutant chemicals) have been used for years without acknowledging their impact. These have contaminated ecosystems, harming both wildlife and human populations. Thus, we propose the creation of an environmentally friendly firefighting foam that will be produced using synthetic biology techniques. To achieve this, we have continued our work on Synbiofoam, a firefighting foam composed of foaming and stabilizing agents like Ranaspumins (a series of proteins from a native frog) and surfactin and biofilm, both naturally produced by B. subtilis, and whose production will be regulated through a circuit intended to control the bacterium’s own regulatory network. As we continue to validate and modify our project based on our stakeholders’ responses, we believe that our project will positively impact our society and environment."	Environment	Gold Medal	Top 10+Best Environment Project	Best Education, Undergrad+Best Integrated Human Practices, Undergrad+Best Model, Undergrad+Best Presentation, Undergrad+Best Safety & Security, Undergrad+Best Supporting Entrepreneurship, Undergrad	2021	J. Claudio Moreno-Rocha, Miguel Torres		Ediner Fuentes Campos, Eduardo Alejandro Castillo Aguilar, Heber Torres, Jorge Luis Hernandez Ayala, Jorge Luis Sanchez Cruz, Julieta M Mel?ndez Calvo, Patricia del Carmen Zambrano Robledo	Daniela Alvarez-Robledo	A?da ?lvarez, Adriana Ma. Mor?n Hern?ndez, Alonso Flores, Baruch Sebastian P?rez Villanueva, Cynthia Elizabeth Valenzuela Chapa, Diana Bautista Espinosa, Erik Gael Flores Silva, Eugenia Elizondo Gonz?lez, Fernando Garc?a Gonz?lez, Jonathan Mart?nez Alvizo, Jorge Alberto Uribe Echeverria, Juan Pablo Martinez Aldana, Julissa Garcia, Kelly Itzel Torres Barr?n, Leonardo Uriel Gonz?lez Garza, Luisa Rend?n Garlant, Marcos Alfredo Sotelo Ibarra, Mauricio Reyes Elizondo, Octavio Armando Vera Tijerina, Raul Acosta Murillo, Other, Ezequiel Jared Verdeja Rodr?guez	31	Undergrad	Mexico	Latin America	https://2021.igem.org/Team:FCB-UANL	Accepted
4066	Harvard	Team has withdrawn	Team has withdrawn	Foundational Advance				2021	Jia Liu	Anastasia Ershova		Siva Muthupalaniappan, Zehan Zhou	Aditya David Wirawan, Alexander Junxiang Chen, Al Shodiev, Andrew Lu, Chase Van Amburg, Sofiya Lysenko, Yong In (Jason) Cho	11	Undergrad	United States	North America	https://2021.igem.org/Team:Harvard	Withdrawn
4068	ABSI_Kenya	Development of a Portable Biosensor for Detection of Selected Contaminants in Drinking Water	Access to safe drinking water is essential for humans. However, drinking water quality is a major source of human infections in low and middle-income countries. Conventional methods for detecting contaminants in drinking water is time-consuming, labour-intensive and expensive. This study aims to overcome this challenge by constructing and validating a cheap, easy to use portable device for the detection of selected contaminants in drinking water. The “Build, Test, Design” cycle will be employed. Appropriate parts will be identified for the selected contaminants and obtained from the iGEM repository. Modelling and simulation will be done to select the best combination. Next, the designed model will be tested for the detection of specific contaminants. Findings from this study will demonstrate the importance of synthetic biology in solving human problems by providing a user-friendly, inexpensive, home-deployable biosensor.	Environment	Bronze Medal			2021	Faith Onditi, Jael Obiero	Kenneth waititu	Hatem Abdelrahman, Jacob Kittinya	Richard Machoka	Bukhosi Masuku, Enock Chebu, Kelly Nyanchama, Mary Wangari Muturi	10		Kenya	Africa	https://2021.igem.org/Team:ABSI_Kenya	Accepted
4070	Ivy_Tech_Indiana_USA	Team has withdrawn	Team has withdrawn	Diagnostics				2021	George Twaddle				Isabel Lozano, Jett Emery, Josef Martin, Kyra McDonald, Oluwabukola Idowu, Pamela D Arenas, Rena Opal Alexandra Doss, Sarah Hameed Alfadhl, Tamara Day	10	Overgrad	United States	North America	https://2021.igem.org/Team:Ivy_Tech_Indiana_USA	Withdrawn
